Date, Winner, Winning Score, Loser, Losing Score
Sep 10| 1966,Baltimore Colts,24,Green Bay Packers,3
Sep 11| 1966,Cleveland Browns,38,Washington Redskins,14
Sep 11| 1966,Minnesota Vikings,20,San Francisco 49ers,20
Sep 11| 1966,New York Giants,34,Pittsburgh Steelers,34
Sep 11| 1966,Chicago Bears,14,Detroit Lions,3
Sep 11| 1966,Philadelphia Eagles,16,St. Louis Cardinals,13
Sep 11| 1966,Los Angeles Rams,19,Atlanta Falcons,14
Sep 16| 1966,Chicago Bears,31,Los Angeles Rams,17
Sep 18| 1966,Detroit Lions,17,Pittsburgh Steelers,3
Sep 18| 1966,Atlanta Falcons,23,Philadelphia Eagles,10
Sep 18| 1966,Baltimore Colts,38,Minnesota Vikings,23
Sep 18| 1966,New York Giants,52,Dallas Cowboys,7
Sep 18| 1966,Washington Redskins,23,St. Louis Cardinals,7
Sep 18| 1966,Green Bay Packers,21,Cleveland Browns,20
Sep 25| 1966,Washington Redskins,33,Pittsburgh Steelers,27
Sep 25| 1966,New York Giants,35,Philadelphia Eagles,17
Sep 25| 1966,Los Angeles Rams,24,Green Bay Packers,13
Sep 25| 1966,Atlanta Falcons,28,Detroit Lions,10
Sep 25| 1966,Minnesota Vikings,28,Dallas Cowboys,17
Sep 25| 1966,San Francisco 49ers,36,Baltimore Colts,14
Sep 25| 1966,St. Louis Cardinals,34,Cleveland Browns,28
Sep 30| 1966,San Francisco 49ers,34,Los Angeles Rams,3
Oct 2| 1966,Pittsburgh Steelers,24,Washington Redskins,10
Oct 2| 1966,St. Louis Cardinals,41,Philadelphia Eagles,10
Oct 2| 1966,Cleveland Browns,28,New York Giants,7
Oct 2| 1966,Chicago Bears,13,Minnesota Vikings,10
Oct 2| 1966,Detroit Lions,23,Green Bay Packers,14
Oct 2| 1966,Dallas Cowboys,47,Atlanta Falcons,14
Oct 8| 1966,Pittsburgh Steelers,41,Cleveland Browns,10
Oct 9| 1966,Atlanta Falcons,33,Washington Redskins,20
Oct 9| 1966,Green Bay Packers,21,San Francisco 49ers,20
Oct 9| 1966,Los Angeles Rams,14,Detroit Lions,7
Oct 9| 1966,Philadelphia Eagles,56,Dallas Cowboys,7
Oct 9| 1966,New York Giants,24,St. Louis Cardinals,19
Oct 9| 1966,Baltimore Colts,27,Chicago Bears,17
Oct 16| 1966,Philadelphia Eagles,31,Pittsburgh Steelers,14
Oct 16| 1966,Washington Redskins,13,New York Giants,10
Oct 16| 1966,Los Angeles Rams,35,Minnesota Vikings,7
Oct 16| 1966,Dallas Cowboys,10,St. Louis Cardinals,10
Oct 16| 1966,Detroit Lions,45,Baltimore Colts,14
Oct 16| 1966,Green Bay Packers,17,Chicago Bears,0
Oct 16| 1966,San Francisco 49ers,44,Atlanta Falcons,7
Oct 23| 1966,St. Louis Cardinals,26,Washington Redskins,20
Oct 23| 1966,Detroit Lions,27,San Francisco 49ers,24
Oct 23| 1966,Philadelphia Eagles,31,New York Giants,3
Oct 23| 1966,Atlanta Falcons,56,Green Bay Packers,3
Oct 23| 1966,Minnesota Vikings,20,Baltimore Colts,17
Oct 23| 1966,Dallas Cowboys,30,Cleveland Browns,21
Oct 23| 1966,Los Angeles Rams,17,Chicago Bears,10
Oct 30| 1966,Baltimore Colts,17,Los Angeles Rams,3
Oct 30| 1966,Washington Redskins,27,Philadelphia Eagles,13
Oct 30| 1966,San Francisco 49ers,28,Minnesota Vikings,3
Oct 30| 1966,Green Bay Packers,31,Detroit Lions,7
Oct 30| 1966,Pittsburgh Steelers,52,Dallas Cowboys,21
Oct 30| 1966,Cleveland Browns,49,Atlanta Falcons,17
Oct 31| 1966,Chicago Bears,24,St. Louis Cardinals,17
Nov 6| 1966,Los Angeles Rams,21,San Francisco 49ers,13
Nov 6| 1966,Cleveland Browns,16,Pittsburgh Steelers,6
Nov 6| 1966,Dallas Cowboys,24,Philadelphia Eagles,23
Nov 6| 1966,St. Louis Cardinals,20,New York Giants,17
Nov 6| 1966,Minnesota Vikings,20,Green Bay Packers,17
Nov 6| 1966,Washington Redskins,37,Baltimore Colts,10
Nov 6| 1966,Detroit Lions,10,Chicago Bears,10
Nov 13| 1966,Dallas Cowboys,31,Washington Redskins,30
Nov 13| 1966,New York Giants,55,Los Angeles Rams,14
Nov 13| 1966,St. Louis Cardinals,30,Pittsburgh Steelers,9
Nov 13| 1966,Detroit Lions,32,Minnesota Vikings,31
Nov 13| 1966,Philadelphia Eagles,27,Cleveland Browns,7
Nov 13| 1966,San Francisco 49ers,30,Chicago Bears,30
Nov 13| 1966,Baltimore Colts,19,Atlanta Falcons,7
Nov 20| 1966,Philadelphia Eagles,35,San Francisco 49ers,34
Nov 20| 1966,Minnesota Vikings,21,Los Angeles Rams,6
Nov 20| 1966,Dallas Cowboys,20,Pittsburgh Steelers,7
Nov 20| 1966,Atlanta Falcons,27,New York Giants,16
Nov 20| 1966,Chicago Bears,13,Green Bay Packers,6
Nov 20| 1966,Baltimore Colts,20,Detroit Lions,14
Nov 20| 1966,Washington Redskins,14,Cleveland Browns,3
Nov 24| 1966,San Francisco 49ers,41,Detroit Lions,14
Nov 24| 1966,Cleveland Browns,26,Dallas Cowboys,14
Nov 27| 1966,New York Giants,72,Washington Redskins,41
Nov 27| 1966,Green Bay Packers,28,Minnesota Vikings,16
Nov 27| 1966,Pittsburgh Steelers,6,St. Louis Cardinals,3
Nov 27| 1966,Los Angeles Rams,23,Baltimore Colts,7
Nov 27| 1966,Atlanta Falcons,23,Chicago Bears,6
Dec 4| 1966,Detroit Lions,23,Los Angeles Rams,3
Dec 4| 1966,Pittsburgh Steelers,27,Philadelphia Eagles,23
Dec 4| 1966,Atlanta Falcons,20,Minnesota Vikings,13
Dec 4| 1966,San Francisco 49ers,20,Green Bay Packers,7
Dec 4| 1966,St. Louis Cardinals,31,Dallas Cowboys,17
Dec 4| 1966,Chicago Bears,21,Baltimore Colts,16
Dec 4| 1966,New York Giants,49,Cleveland Browns,40
Dec 10| 1966,Green Bay Packers,14,Baltimore Colts,10
Dec 11| 1966,Chicago Bears,41,San Francisco 49ers,14
Dec 11| 1966,Cleveland Browns,33,Philadelphia Eagles,21
Dec 11| 1966,Pittsburgh Steelers,47,New York Giants,28
Dec 11| 1966,Minnesota Vikings,28,Detroit Lions,16
Dec 11| 1966,Washington Redskins,34,Dallas Cowboys,31
Dec 11| 1966,St. Louis Cardinals,16,Atlanta Falcons,10
Dec 17| 1966,Cleveland Browns,38,St. Louis Cardinals,10
Dec 18| 1966,Philadelphia Eagles,37,Washington Redskins,28
Dec 18| 1966,Baltimore Colts,30,San Francisco 49ers,14
Dec 18| 1966,Green Bay Packers,27,Los Angeles Rams,23
Dec 18| 1966,Dallas Cowboys,17,New York Giants,7
Dec 18| 1966,Minnesota Vikings,41,Chicago Bears,28
Dec 18| 1966,Pittsburgh Steelers,57,Atlanta Falcons,33
Jan 1| 1967,Green Bay Packers,34,Dallas Cowboys,27
Jan 15| 1967,Kansas City Chiefs,35,Green Bay Packers,10
Sep 17| 1967,Atlanta Falcons,38,Baltimore Colts,31
Sep 17| 1967,Dallas Cowboys,21,Cleveland Browns,14
Sep 17| 1967,Chicago Bears,41,Pittsburgh Steelers,13
Sep 17| 1967,Washington Redskins,35,Philadelphia Eagles,24
Sep 17| 1967,Los Angeles Rams,27,New Orleans Saints,13
Sep 17| 1967,San Francisco 49ers,27,Minnesota Vikings,21
Sep 17| 1967,Detroit Lions,17,Green Bay Packers,17
Sep 17| 1967,New York Giants,37,St. Louis Cardinals,20
Sep 22| 1967,Minnesota Vikings,39,Los Angeles Rams,3
Sep 24| 1967,Atlanta Falcons,38,San Francisco 49ers,7
Sep 24| 1967,St. Louis Cardinals,28,Pittsburgh Steelers,14
Sep 24| 1967,Baltimore Colts,38,Philadelphia Eagles,6
Sep 24| 1967,Washington Redskins,30,New Orleans Saints,10
Sep 24| 1967,Chicago Bears,13,Green Bay Packers,10
Sep 24| 1967,Cleveland Browns,31,Detroit Lions,14
Sep 24| 1967,New York Giants,38,Dallas Cowboys,24
Oct 1| 1967,New York Giants,38,Washington Redskins,34
Oct 1| 1967,Pittsburgh Steelers,34,Philadelphia Eagles,24
Oct 1| 1967,Cleveland Browns,42,New Orleans Saints,7
Oct 1| 1967,Chicago Bears,17,Minnesota Vikings,7
Oct 1| 1967,Atlanta Falcons,23,Green Bay Packers,0
Oct 1| 1967,Los Angeles Rams,35,Dallas Cowboys,13
Oct 1| 1967,Detroit Lions,38,St. Louis Cardinals,28
Oct 1| 1967,San Francisco 49ers,41,Baltimore Colts,7
Oct 7| 1967,Pittsburgh Steelers,21,Cleveland Browns,10
Oct 8| 1967,Dallas Cowboys,17,Washington Redskins,14
Oct 8| 1967,San Francisco 49ers,27,Los Angeles Rams,24
Oct 8| 1967,New Orleans Saints,27,New York Giants,21
Oct 8| 1967,St. Louis Cardinals,34,Minnesota Vikings,24
Oct 8| 1967,Green Bay Packers,27,Detroit Lions,17
Oct 8| 1967,Baltimore Colts,24,Chicago Bears,3
Oct 8| 1967,Philadelphia Eagles,38,Atlanta Falcons,7
Oct 15| 1967,New York Giants,27,Pittsburgh Steelers,24
Oct 15| 1967,San Francisco 49ers,28,Philadelphia Eagles,27
Oct 15| 1967,Minnesota Vikings,10,Green Bay Packers,7
Oct 15| 1967,New Orleans Saints,14,Dallas Cowboys,10
Oct 15| 1967,Los Angeles Rams,24,Baltimore Colts,24
Oct 15| 1967,St. Louis Cardinals,20,Cleveland Browns,16
Oct 15| 1967,Detroit Lions,14,Chicago Bears,3
Oct 15| 1967,Washington Redskins,20,Atlanta Falcons,20
Oct 22| 1967,New Orleans Saints,27,San Francisco 49ers,13
Oct 22| 1967,Washington Redskins,28,Los Angeles Rams,28
Oct 22| 1967,Dallas Cowboys,24,Pittsburgh Steelers,21
Oct 22| 1967,Green Bay Packers,48,New York Giants,21
Oct 22| 1967,Baltimore Colts,20,Minnesota Vikings,20
Oct 22| 1967,Atlanta Falcons,24,Detroit Lions,3
Oct 22| 1967,Philadelphia Eagles,48,St. Louis Cardinals,14
Oct 22| 1967,Chicago Bears,24,Cleveland Browns,0
Oct 29| 1967,Baltimore Colts,17,Washington Redskins,13
Oct 29| 1967,Detroit Lions,45,San Francisco 49ers,3
Oct 29| 1967,Dallas Cowboys,21,Philadelphia Eagles,14
Oct 29| 1967,Cleveland Browns,38,New York Giants,34
Oct 29| 1967,Pittsburgh Steelers,14,New Orleans Saints,10
Oct 29| 1967,Los Angeles Rams,28,Chicago Bears,17
Oct 29| 1967,Minnesota Vikings,21,Atlanta Falcons,20
Oct 30| 1967,Green Bay Packers,31,St. Louis Cardinals,23
Nov 5| 1967,St. Louis Cardinals,27,Washington Redskins,21
Nov 5| 1967,Los Angeles Rams,17,San Francisco 49ers,7
Nov 5| 1967,Cleveland Browns,34,Pittsburgh Steelers,14
Nov 5| 1967,Philadelphia Eagles,31,New Orleans Saints,24
Nov 5| 1967,New York Giants,27,Minnesota Vikings,24
Nov 5| 1967,Chicago Bears,27,Detroit Lions,13
Nov 5| 1967,Atlanta Falcons,37,Dallas Cowboys,7
Nov 5| 1967,Green Bay Packers,13,Baltimore Colts,10
Nov 12| 1967,San Francisco 49ers,31,Washington Redskins,28
Nov 12| 1967,Philadelphia Eagles,33,Los Angeles Rams,17
Nov 12| 1967,Dallas Cowboys,27,New Orleans Saints,10
Nov 12| 1967,Detroit Lions,10,Minnesota Vikings,10
Nov 12| 1967,Cleveland Browns,55,Green Bay Packers,7
Nov 12| 1967,Pittsburgh Steelers,14,St. Louis Cardinals,14
Nov 12| 1967,New York Giants,34,Chicago Bears,7
Nov 12| 1967,Baltimore Colts,49,Atlanta Falcons,7
Nov 19| 1967,New Orleans Saints,48,Philadelphia Eagles,21
Nov 19| 1967,Pittsburgh Steelers,28,New York Giants,20
Nov 19| 1967,San Francisco 49ers,13,Green Bay Packers,0
Nov 19| 1967,Washington Redskins,27,Dallas Cowboys,20
Nov 19| 1967,Detroit Lions,41,Baltimore Colts,7
Nov 19| 1967,Minnesota Vikings,14,Cleveland Browns,10
Nov 19| 1967,St. Louis Cardinals,30,Chicago Bears,3
Nov 19| 1967,Los Angeles Rams,31,Atlanta Falcons,3
Nov 23| 1967,Los Angeles Rams,31,Detroit Lions,7
Nov 23| 1967,St. Louis Cardinals,46,Dallas Cowboys,21
Nov 26| 1967,Baltimore Colts,26,San Francisco 49ers,9
Nov 26| 1967,Minnesota Vikings,41,Pittsburgh Steelers,27
Nov 26| 1967,Philadelphia Eagles,44,New York Giants,7
Nov 26| 1967,Atlanta Falcons,27,New Orleans Saints,24
Nov 26| 1967,Washington Redskins,42,Cleveland Browns,37
Nov 26| 1967,Green Bay Packers,17,Chicago Bears,13
Dec 3| 1967,Philadelphia Eagles,35,Washington Redskins,35
Dec 3| 1967,Chicago Bears,28,San Francisco 49ers,14
Dec 3| 1967,Atlanta Falcons,20,Los Angeles Rams,3
Dec 3| 1967,Green Bay Packers,30,Minnesota Vikings,27
Dec 3| 1967,Pittsburgh Steelers,24,Detroit Lions,14
Dec 3| 1967,New Orleans Saints,31,St. Louis Cardinals,20
Dec 3| 1967,Dallas Cowboys,23,Baltimore Colts,17
Dec 3| 1967,New York Giants,24,Cleveland Browns,14
Dec 9| 1967,Green Bay Packers,27,Los Angeles Rams,24
Dec 10| 1967,Washington Redskins,15,Pittsburgh Steelers,10
Dec 10| 1967,Detroit Lions,30,New York Giants,7
Dec 10| 1967,Philadelphia Eagles,38,Dallas Cowboys,17
Dec 10| 1967,Cleveland Browns,20,St. Louis Cardinals,16
Dec 10| 1967,New Orleans Saints,30,Baltimore Colts,10
Dec 10| 1967,Minnesota Vikings,10,Chicago Bears,10
Dec 10| 1967,San Francisco 49ers,34,Atlanta Falcons,28
Dec 16| 1967,Dallas Cowboys,24,San Francisco 49ers,16
Dec 17| 1967,New Orleans Saints,30,Washington Redskins,14
Dec 17| 1967,Baltimore Colts,34,Los Angeles Rams,10
Dec 17| 1967,Cleveland Browns,28,Philadelphia Eagles,24
Dec 17| 1967,St. Louis Cardinals,37,New York Giants,14
Dec 17| 1967,Pittsburgh Steelers,24,Green Bay Packers,17
Dec 17| 1967,Minnesota Vikings,14,Detroit Lions,3
Dec 17| 1967,Chicago Bears,23,Atlanta Falcons,14
Dec 23| 1967,Los Angeles Rams,28,Green Bay Packers,7
Dec 24| 1967,Cleveland Browns,52,Dallas Cowboys,14
Dec 31| 1967,Dallas Cowboys,21,Green Bay Packers,17
Jan 14| 1968,Oakland Raiders,33,Green Bay Packers,14
Sep 14| 1968,Atlanta Falcons,47,Minnesota Vikings,7
Sep 15| 1968,New York Giants,34,Pittsburgh Steelers,20
Sep 15| 1968,Cleveland Browns,24,New Orleans Saints,10
Sep 15| 1968,Philadelphia Eagles,30,Green Bay Packers,13
Sep 15| 1968,Detroit Lions,59,Dallas Cowboys,13
Sep 15| 1968,San Francisco 49ers,27,Baltimore Colts,10
Sep 15| 1968,Washington Redskins,38,Chicago Bears,28
Sep 16| 1968,Los Angeles Rams,24,St. Louis Cardinals,13
Sep 22| 1968,St. Louis Cardinals,35,San Francisco 49ers,17
Sep 22| 1968,Pittsburgh Steelers,45,Los Angeles Rams,10
Sep 22| 1968,New York Giants,34,Philadelphia Eagles,25
Sep 22| 1968,Washington Redskins,37,New Orleans Saints,17
Sep 22| 1968,Minnesota Vikings,26,Green Bay Packers,13
Sep 22| 1968,Chicago Bears,42,Detroit Lions,0
Sep 22| 1968,Cleveland Browns,28,Dallas Cowboys,7
Sep 22| 1968,Baltimore Colts,28,Atlanta Falcons,20
Sep 29| 1968,Atlanta Falcons,28,San Francisco 49ers,13
Sep 29| 1968,Baltimore Colts,41,Pittsburgh Steelers,7
Sep 29| 1968,Dallas Cowboys,45,Philadelphia Eagles,13
Sep 29| 1968,Washington Redskins,48,New York Giants,21
Sep 29| 1968,St. Louis Cardinals,21,New Orleans Saints,20
Sep 29| 1968,Chicago Bears,27,Minnesota Vikings,17
Sep 29| 1968,Detroit Lions,23,Green Bay Packers,17
Sep 29| 1968,Los Angeles Rams,24,Cleveland Browns,6
Oct 5| 1968,Pittsburgh Steelers,31,Cleveland Browns,24
Oct 6| 1968,Philadelphia Eagles,17,Washington Redskins,14
Oct 6| 1968,San Francisco 49ers,24,Los Angeles Rams,10
Oct 6| 1968,New Orleans Saints,38,New York Giants,21
Oct 6| 1968,Detroit Lions,24,Minnesota Vikings,10
Oct 6| 1968,Dallas Cowboys,27,St. Louis Cardinals,10
Oct 6| 1968,Chicago Bears,28,Baltimore Colts,7
Oct 6| 1968,Green Bay Packers,38,Atlanta Falcons,7
Oct 13| 1968,Pittsburgh Steelers,16,Washington Redskins,13
Oct 13| 1968,Baltimore Colts,42,San Francisco 49ers,14
Oct 13| 1968,Minnesota Vikings,20,New Orleans Saints,17
Oct 13| 1968,Los Angeles Rams,16,Green Bay Packers,14
Oct 13| 1968,Philadelphia Eagles,34,Dallas Cowboys,14
Oct 13| 1968,St. Louis Cardinals,27,Cleveland Browns,21
Oct 13| 1968,Detroit Lions,28,Chicago Bears,10
Oct 13| 1968,New York Giants,24,Atlanta Falcons,21
Oct 20| 1968,Atlanta Falcons,27,Los Angeles Rams,14
Oct 20| 1968,New Orleans Saints,16,Pittsburgh Steelers,12
Oct 20| 1968,Chicago Bears,29,Philadelphia Eagles,16
Oct 20| 1968,San Francisco 49ers,26,New York Giants,10
Oct 20| 1968,Dallas Cowboys,20,Minnesota Vikings,7
Oct 20| 1968,Green Bay Packers,14,Detroit Lions,14
Oct 20| 1968,Washington Redskins,41,St. Louis Cardinals,14
Oct 20| 1968,Cleveland Browns,30,Baltimore Colts,20
Oct 27| 1968,New York Giants,13,Washington Redskins,10
Oct 27| 1968,Philadelphia Eagles,6,Pittsburgh Steelers,3
Oct 27| 1968,San Francisco 49ers,14,Detroit Lions,7
Oct 27| 1968,New Orleans Saints,31,St. Louis Cardinals,17
Oct 27| 1968,Los Angeles Rams,27,Baltimore Colts,10
Oct 27| 1968,Atlanta Falcons,30,Cleveland Browns,7
Oct 27| 1968,Minnesota Vikings,26,Chicago Bears,24
Oct 28| 1968,Green Bay Packers,28,Dallas Cowboys,17
Nov 3| 1968,Cleveland Browns,33,San Francisco 49ers,21
Nov 3| 1968,Detroit Lions,10,Los Angeles Rams,7
Nov 3| 1968,St. Louis Cardinals,45,Philadelphia Eagles,17
Nov 3| 1968,Baltimore Colts,26,New York Giants,0
Nov 3| 1968,Dallas Cowboys,17,New Orleans Saints,3
Nov 3| 1968,Washington Redskins,27,Minnesota Vikings,14
Nov 3| 1968,Chicago Bears,13,Green Bay Packers,10
Nov 3| 1968,Pittsburgh Steelers,41,Atlanta Falcons,21
Nov 10| 1968,Washington Redskins,16,Philadelphia Eagles,10
Nov 10| 1968,Green Bay Packers,14,Minnesota Vikings,10
Nov 10| 1968,Baltimore Colts,27,Detroit Lions,10
Nov 10| 1968,New York Giants,27,Dallas Cowboys,21
Nov 10| 1968,Pittsburgh Steelers,28,St. Louis Cardinals,28
Nov 10| 1968,New Orleans Saints,35,Cleveland Browns,17
Nov 10| 1968,San Francisco 49ers,27,Chicago Bears,19
Nov 10| 1968,Los Angeles Rams,17,Atlanta Falcons,10
Nov 17| 1968,Dallas Cowboys,44,Washington Redskins,24
Nov 17| 1968,Los Angeles Rams,20,San Francisco 49ers,20
Nov 17| 1968,Cleveland Browns,45,Pittsburgh Steelers,24
Nov 17| 1968,Philadelphia Eagles,7,New York Giants,6
Nov 17| 1968,New Orleans Saints,29,Green Bay Packers,7
Nov 17| 1968,Minnesota Vikings,13,Detroit Lions,6
Nov 17| 1968,St. Louis Cardinals,27,Baltimore Colts,0
Nov 17| 1968,Atlanta Falcons,16,Chicago Bears,13
Nov 24| 1968,Green Bay Packers,27,Washington Redskins,7
Nov 24| 1968,New York Giants,24,Los Angeles Rams,21
Nov 24| 1968,San Francisco 49ers,45,Pittsburgh Steelers,28
Nov 24| 1968,New Orleans Saints,20,Detroit Lions,20
Nov 24| 1968,Atlanta Falcons,17,St. Louis Cardinals,12
Nov 24| 1968,Minnesota Vikings,21,Baltimore Colts,9
Nov 24| 1968,Philadelphia Eagles,47,Cleveland Browns,13
Nov 24| 1968,Dallas Cowboys,34,Chicago Bears,3
Nov 28| 1968,Philadelphia Eagles,12,Detroit Lions,0
Nov 28| 1968,Washington Redskins,29,Dallas Cowboys,20
Dec 1| 1968,Green Bay Packers,27,San Francisco 49ers,20
Dec 1| 1968,St. Louis Cardinals,20,Pittsburgh Steelers,10
Dec 1| 1968,Chicago Bears,23,New Orleans Saints,17
Dec 1| 1968,Los Angeles Rams,31,Minnesota Vikings,3
Dec 1| 1968,Atlanta Falcons,44,Baltimore Colts,0
Dec 1| 1968,New York Giants,45,Cleveland Browns,10
Dec 7| 1968,Baltimore Colts,16,Green Bay Packers,3
Dec 8| 1968,Cleveland Browns,24,Washington Redskins,21
Dec 8| 1968,Minnesota Vikings,30,San Francisco 49ers,20
Dec 8| 1968,Chicago Bears,17,Los Angeles Rams,16
Dec 8| 1968,New Orleans Saints,29,Philadelphia Eagles,17
Dec 8| 1968,St. Louis Cardinals,28,New York Giants,21
Dec 8| 1968,Pittsburgh Steelers,28,Dallas Cowboys,7
Dec 8| 1968,Detroit Lions,24,Atlanta Falcons,7
Dec 14| 1968,Cleveland Browns,27,St. Louis Cardinals,16
Dec 15| 1968,Detroit Lions,14,Washington Redskins,3
Dec 15| 1968,Baltimore Colts,28,Los Angeles Rams,24
Dec 15| 1968,Minnesota Vikings,24,Philadelphia Eagles,17
Dec 15| 1968,Dallas Cowboys,28,New York Giants,10
Dec 15| 1968,Pittsburgh Steelers,24,New Orleans Saints,14
Dec 15| 1968,Green Bay Packers,28,Chicago Bears,27
Dec 15| 1968,San Francisco 49ers,14,Atlanta Falcons,12
Dec 21| 1968,Dallas Cowboys,31,Cleveland Browns,20
Dec 22| 1968,Minnesota Vikings,24,Baltimore Colts,14
Dec 29| 1968,Baltimore Colts,34,Cleveland Browns,0
Jan 12| 1969,New York Jets,16,Baltimore Colts,7
Sep 14| 1969,Boston Patriots,35,Denver Broncos,7
Sep 14| 1969,Miami Dolphins,27,Cincinnati Bengals,21
Sep 14| 1969,New York Jets,33,Buffalo Bills,19
Sep 14| 1969,Kansas City Chiefs,27,San Diego Chargers,9
Sep 14| 1969,Houston Oilers,21,Oakland Raiders,17
Sep 21| 1969,Detroit Lions,16,Pittsburgh Steelers,13
Sep 21| 1969,Cleveland Browns,27,Philadelphia Eagles,20
Sep 21| 1969,Minnesota Vikings,24,New York Giants,23
Sep 21| 1969,Washington Redskins,26,New Orleans Saints,20
Sep 21| 1969,Chicago Bears,17,Green Bay Packers,0
Sep 21| 1969,St. Louis Cardinals,24,Dallas Cowboys,3
Sep 21| 1969,Los Angeles Rams,27,Baltimore Colts,20
Sep 21| 1969,San Francisco 49ers,24,Atlanta Falcons,12
Sep 20| 1969,Miami Dolphins,20,Oakland Raiders,17
Sep 21| 1969,San Diego Chargers,34,Cincinnati Bengals,20
Sep 21| 1969,Houston Oilers,17,Buffalo Bills,3
Sep 21| 1969,Kansas City Chiefs,31,Boston Patriots,0
Sep 21| 1969,New York Jets,21,Denver Broncos,19
Sep 28| 1969,Atlanta Falcons,17,Los Angeles Rams,7
Sep 28| 1969,Pittsburgh Steelers,41,Philadelphia Eagles,27
Sep 28| 1969,Dallas Cowboys,21,New Orleans Saints,17
Sep 28| 1969,Baltimore Colts,52,Minnesota Vikings,14
Sep 28| 1969,San Francisco 49ers,14,Green Bay Packers,7
Sep 28| 1969,New York Giants,24,Detroit Lions,0
Sep 28| 1969,Chicago Bears,20,St. Louis Cardinals,17
Sep 28| 1969,Washington Redskins,27,Cleveland Browns,23
Sep 28| 1969,Oakland Raiders,38,Boston Patriots,23
Sep 28| 1969,Kansas City Chiefs,24,Cincinnati Bengals,19
Sep 28| 1969,Denver Broncos,41,Buffalo Bills,28
Sep 28| 1969,New York Jets,34,San Diego Chargers,27
Sep 28| 1969,Miami Dolphins,22,Houston Oilers,10
Oct 5| 1969,Washington Redskins,17,San Francisco 49ers,17
Oct 5| 1969,New Orleans Saints,36,Los Angeles Rams,17
Oct 5| 1969,St. Louis Cardinals,27,Pittsburgh Steelers,14
Oct 5| 1969,Dallas Cowboys,38,Philadelphia Eagles,7
Oct 5| 1969,Chicago Bears,28,New York Giants,24
Oct 5| 1969,Green Bay Packers,19,Minnesota Vikings,7
Oct 5| 1969,Detroit Lions,28,Cleveland Browns,21
Oct 5| 1969,Baltimore Colts,21,Atlanta Falcons,14
Oct 4| 1969,Cincinnati Bengals,21,San Diego Chargers,14
Oct 4| 1969,Oakland Raiders,20,Miami Dolphins,20
Oct 5| 1969,Kansas City Chiefs,26,Denver Broncos,13
Oct 5| 1969,Buffalo Bills,28,Houston Oilers,14
Oct 5| 1969,New York Jets,23,Boston Patriots,14
Oct 12| 1969,St. Louis Cardinals,33,Washington Redskins,17
Oct 12| 1969,Los Angeles Rams,27,San Francisco 49ers,21
Oct 12| 1969,Pittsburgh Steelers,10,New York Giants,7
Oct 12| 1969,Cleveland Browns,27,New Orleans Saints,17
Oct 12| 1969,Green Bay Packers,28,Detroit Lions,17
Oct 12| 1969,Minnesota Vikings,31,Chicago Bears,0
Oct 12| 1969,Dallas Cowboys,24,Atlanta Falcons,17
Oct 13| 1969,Philadelphia Eagles,24,Baltimore Colts,20
Oct 11| 1969,San Diego Chargers,21,Miami Dolphins,14
Oct 11| 1969,Boston Patriots,23,Buffalo Bills,16
Oct 12| 1969,New York Jets,21,Cincinnati Bengals,7
Oct 12| 1969,Houston Oilers,24,Kansas City Chiefs,0
Oct 12| 1969,Oakland Raiders,24,Denver Broncos,14
Oct 18| 1969,Pittsburgh Steelers,42,Cleveland Browns,31
Oct 19| 1969,New York Giants,20,Washington Redskins,14
Oct 19| 1969,Atlanta Falcons,21,San Francisco 49ers,7
Oct 19| 1969,Green Bay Packers,34,Los Angeles Rams,21
Oct 19| 1969,Baltimore Colts,30,New Orleans Saints,10
Oct 19| 1969,Chicago Bears,13,Detroit Lions,7
Oct 19| 1969,Philadelphia Eagles,49,Dallas Cowboys,14
Oct 19| 1969,Minnesota Vikings,27,St. Louis Cardinals,10
Oct 19| 1969,San Diego Chargers,13,Boston Patriots,10
Oct 19| 1969,Miami Dolphins,17,Kansas City Chiefs,10
Oct 19| 1969,Denver Broncos,30,Cincinnati Bengals,23
Oct 19| 1969,Buffalo Bills,50,Oakland Raiders,21
Oct 20| 1969,Houston Oilers,26,New York Jets,17
Oct 26| 1969,Washington Redskins,14,Pittsburgh Steelers,7
Oct 26| 1969,New Orleans Saints,13,Philadelphia Eagles,10
Oct 26| 1969,Detroit Lions,24,Minnesota Vikings,10
Oct 26| 1969,Atlanta Falcons,28,Green Bay Packers,10
Oct 26| 1969,San Francisco 49ers,24,Baltimore Colts,21
Oct 26| 1969,St. Louis Cardinals,21,Cleveland Browns,21
Oct 26| 1969,Los Angeles Rams,9,Chicago Bears,7
Oct 27| 1969,New York Giants,25,Dallas Cowboys,3
Oct 26| 1969,Boston Patriots,23,New York Jets,17
Oct 26| 1969,Buffalo Bills,24,Miami Dolphins,6
Oct 26| 1969,Cincinnati Bengals,42,Kansas City Chiefs,22
Oct 26| 1969,Oakland Raiders,24,San Diego Chargers,12
Oct 26| 1969,Denver Broncos,24,Houston Oilers,21
Nov 2| 1969,Detroit Lions,26,San Francisco 49ers,14
Nov 2| 1969,Green Bay Packers,38,Pittsburgh Steelers,34
Nov 2| 1969,Philadelphia Eagles,23,New York Giants,20
Nov 2| 1969,Chicago Bears,31,Minnesota Vikings,14
Nov 2| 1969,New Orleans Saints,51,St. Louis Cardinals,42
